time,hex,int,voltage
2020-04-30 20:37:54.972625,0x1f7d0,128976,4.9204343999999995
2020-04-30 20:37:55.077862,0x1f85d,129117,4.92581355
2020-04-30 20:37:55.182667,0x1f872,129138,4.9266147
2020-04-30 20:37:55.287760,0x1f7fd,129021,4.9221511499999995
2020-04-30 20:37:55.397941,0x1f6cb,128715,4.91047725
2020-04-30 20:37:55.523943,0x1f55c,128348,4.8964761999999995
2020-04-30 20:37:55.648715,0x1f2bf,127679,4.87095385
2020-04-30 20:37:55.752330,0x1ef39,126777,4.83654255
2020-04-30 20:37:55.858376,0x1ebd5,125909,4.80342835
2020-04-30 20:37:55.964115,0x1e7f5,124917,4.76558355
2020-04-30 20:37:56.070182,0x1e3b4,123828,4.7240382
2020-04-30 20:37:56.175750,0x1dd7c,122236,4.6633034
2020-04-30 20:37:56.281582,0x1d8a9,121001,4.61618815
2020-04-30 20:37:56.387471,0x1d296,119446,4.5568649
2020-04-30 20:37:56.493519,0x1cbf4,117748,4.4920862
2020-04-30 20:37:56.599299,0x1c4a9,115881,4.42086015
2020-04-30 20:37:56.705338,0x1bd09,113929,4.34639135
2020-04-30 20:37:57.448404,0x1b518,111896,4.2688324
2020-04-30 20:37:57.579696,0x16efd,93949,3.58415435
2020-04-30 20:37:57.683696,0x16037,90167,3.43987105
2020-04-30 20:37:57.787824,0x1547f,87167,3.32542105
2020-04-30 20:37:57.892170,0x147ea,83946,3.2025399
2020-04-30 20:37:57.996641,0x13b2f,80687,3.07820905
2020-04-30 20:37:58.100937,0x12dfe,77310,2.9493765
2020-04-30 20:37:58.204786,0x12088,73864,2.8179116
2020-04-30 20:37:58.308748,0x11317,70423,2.68663745
2020-04-30 20:37:58.415024,0x1052b,66859,2.55067085
2020-04-30 20:37:58.521165,0xf682,63106,2.4074939
2020-04-30 20:37:58.626710,0xe7b4,59316,2.2629053999999997
